City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
122,Chowchilla,US,2022-07-02 21:27:55,37.123,-120.2602,93.02,21,0,9.22,clear sky
123,Mnogovershinnyy,RU,2022-07-02 21:27:56,53.9353,139.9242,66.22,51,99,3.24,overcast clouds
124,Vitim,RU,2022-07-02 21:27:56,59.4511,112.5578,68.13,70,38,4.38,scattered clouds
125,Novoagansk,RU,2022-07-02 21:27:56,61.9449,76.6625,50.56,82,100,8.52,overcast clouds
126,Fort Frances,CA,2022-07-02 21:27:56,48.5999,-93.4003,72.16,42,40,8.05,scattered clouds
127,Simoes,BR,2022-07-02 21:27:57,-7.5989,-40.8178,74.77,73,47,12.48,scattered clouds
128,Cape Town,ZA,2022-07-02 21:27:07,-33.9258,18.4232,58.87,86,40,13.8,light rain
129,Vestmannaeyjar,IS,2022-07-02 21:27:57,63.4427,-20.2734,51.96,84,9,24.67,clear sky
130,Kloulklubed,PW,2022-07-02 21:27:57,7.0419,134.2556,77.5,76,100,12.53,overcast clouds
131,Qaanaaq,GL,2022-07-02 21:25:47,77.484,-69.3632,38.08,91,100,3.13,light rain
132,Kilosa,TZ,2022-07-02 21:27:58,-6.8333,36.9833,62.22,70,34,1.81,scattered clouds
133,Geraldton,AU,2022-07-02 21:25:49,-28.7667,114.6,41.41,81,0,11.5,clear sky
134,Vanimo,PG,2022-07-02 21:27:58,-2.6741,141.3028,76.35,89,86,4.61,overcast clouds
135,Khandyga,RU,2022-07-02 21:27:58,62.6667,135.6,65.86,61,65,0.45,broken clouds
136,Vicuna,CL,2022-07-02 21:27:58,-30.0319,-70.7081,65.77,37,23,3.44,few clouds
137,Purpe,RU,2022-07-02 21:27:59,64.4803,76.6897,50.04,84,100,16.06,light rain
138,Petropavlovsk-Kamchatskiy,RU,2022-07-02 21:27:59,53.0452,158.6483,57.79,82,75,4.47,broken clouds
139,Moree,AU,2022-07-02 21:27:59,-29.4667,149.85,39.22,93,100,4.61,overcast clouds
140,Saldanha,ZA,2022-07-02 21:27:59,-33.0117,17.9442,55.45,80,17,9.55,few clouds
