City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
184,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
185,San Benito,US,77.86,clear sky,36.6166,-121.0844,
187,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
188,San Juan,AR,56.64,clear sky,-31.5375,-68.5364,Hotel Provincial
189,Yakovlevka,RU,68.92,overcast clouds,44.425,133.4772,
190,Talnakh,RU,52.21,broken clouds,69.4865,88.3972,Talnakh Hotel
191,Xochihuehuetlan,MX,93.78,broken clouds,17.9167,-98.4333,
192,Richards Bay,ZA,64.58,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
193,Yar-Sale,RU,44.71,overcast clouds,66.8333,70.8333,Yalemd
194,Nemuro,JP,57.22,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
195,Hobart,AU,41.05,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
196,Kaitangata,NZ,45.54,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
198,Boddam,GB,55.78,overcast clouds,57.4667,-1.7833,Palace Hotel
199,Iqaluit,CA,44.33,light rain,63.7506,-68.5145,Frobisher Inn
200,Alberton,CA,71.51,overcast clouds,46.8168,-64.0654,La Petite France B&B
201,Lerwick,GB,53.6,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
202,Dehloran,IR,92.64,clear sky,32.6941,47.2679,کافه گیم استورم
203,Broken Hill,AU,36.63,clear sky,-31.95,141.4333,Royal Exchange Hotel
204,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
205,Kodiak,US,54.91,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
206,Wanning,CN,81.39,moderate rain,18.8003,110.3967,Paradise Hotel
207,East London,ZA,72.3,clear sky,-33.0153,27.9116,Tu Casa
208,Victor Harbor,AU,44.67,overcast clouds,-35.5667,138.6167,McCracken Country Club
209,Riyadh,SA,91.54,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
210,Namtsy,RU,66.47,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
211,Sumbe,AO,68.5,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
212,Dakar,SN,78.93,broken clouds,14.6937,-17.4441,Novotel Dakar
213,Namibe,AO,66.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
214,Salvador,SV,81.0,overcast clouds,13.8333,-88.9167,Chico's Ranch
215,Yulara,AU,39.49,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
216,Smolenka,RU,69.87,scattered clouds,52.1352,113.4974,Russkaya Usadba v Zarechye
